   26   31     0     0  con    0  1.0D+00  6.8D-04  7.369D-02  8.065D+03
   27   32     0     0  con    0  1.0D+00  1.3D-04  7.648D-02  8.065D+03
   28   33     0     0  con    0  1.0D+00  8.8D-05  7.474D-02  8.065D+03

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 1.938E+01 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       184970     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     7.177D+01  6.763D+03
    1    3     1     0  ---    1  1.1D-04  2.8D-01  7.774D+01  6.425D+03
    2    5     0     0  con    1  4.7D-01  4.8D-02  1.696D+01  6.402D+03
    3    6     0     0  con    0  1.0D+00  2.0D-02  1.182D+01  6.395D+03
    4    7     0     0  con    0  1.0D+00  5.5D-02  1.529D+01  6.386D+03
    5    8     0     0  con    0  1.0D+00  1.6D-02  1.355D+01  6.386D+03
    6    9     0     0  con    0  1.0D+00  5.1D-03  9.731D+00  6.385D+03
    7   10     0     0  con    0  1.0D+00  2.6D-03  1.125D+01  6.385D+03
    8   11     0     0  con    0  1.0D+00  3.3D-03  1.194D+01  6.385D+03
    9   12     0     0  con    0  1.0D+00  4.2D-03  1.184D+01  6.385D+03
   10   13     0     0  con    0  1.0D+00  5.8D-03  1.110D+01  6.385D+03
   11   14     0     0  con    0  1.0D+00  1.9D-03  1.060D+01  6.385D+03
   12   15     0     0  con    0  1.0D+00  6.7D-03  9.423D+00  6.385D+03
   13   16     0     0  con    0  1.0D+00  1.2D-02  7.967D+00  6.385D+03
   14   17     0     0  con    0  1.0D+00  2.9D-02  5.405D+00  6.385D+03
   15   18     0     0  con    0  1.0D+00  5.3D-02  5.724D+00  6.384D+03
   16   19     0     0  con    0  1.0D+00  3.9D-02  4.123D+00  6.384D+03
   17   20     0     0  con    0  1.0D+00  1.6D-02  1.264D+00  6.384D+03
   18   21     0     0  con    0  1.0D+00  2.2D-03  7.653D-01  6.384D+03
   19   22     0     0  con    0  1.0D+00  1.0D-03  7.315D-01  6.384D+03
   20   23     0     0  con    0  1.0D+00  9.4D-04  7.735D-01  6.384D+03
   21   24     0     0  con    0  1.0D+00  5.3D-04  7.279D-01  6.384D+03
   22   25     0     0  con    0  1.0D+00  4.2D-04  6.151D-01  6.384D+03
   23   26     0     0  con    0  1.0D+00  3.9D-04  6.771D-01  6.384D+03
   24   27     0     0  con    0  1.0D+00  1.3D-03  6.306D-01  6.384D+03
   25   28     0     0  con    0  1.0D+00  2.4D-03  8.646D-01  6.384D+03
   26   29     0     0  con    0  1.0D+00  3.3D-03  6.211D-01  6.384D+03
   27   30     0     0  con    0  1.0D+00  6.1D-03  2.742D-01  6.384D+03
   28   32     0     0  con    1  4.7D-01  2.6D-03  1.446D-01  6.384D+03
   29   33     0     0  con    0  1.0D+00  4.8D-04  6.595D-02  6.384D+03
   30   34     0     0  con    0  1.0D+00  3.2D-04  3.551D-02  6.384D+03
   31   35     0     0  con    0  1.0D+00  2.0D-04  1.197D-01  6.384D+03
   32   36     0     0  con    0  1.0D+00  1.2D-04  5.537D-02  6.384D+03
   33   37     0     0  con    0  1.0D+00  7.1D-05  5.148D-02  6.384D+03
   32   37     0     0  con    0  1.0D+00  1.0D-04  1.659D-01  6.239D+03
   33   38     0     0  con    0  1.0D+00  1.6D-04  1.490D-01  6.239D+03
   34   39     0     0  con    0  1.0D+00  1.7D-04  1.736D-01  6.239D+03

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 2.264E+01 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       184970     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     4.779D+01  5.029D+03
    1    3     1     0  ---    1  1.6D-04  3.0D-01  5.192D+01  4.778D+03
    2    5     0     0  con    1  4.9D-01  4.6D-02  1.559D+01  4.764D+03
    3    6     0     0  con    0  1.0D+00  2.2D-02  9.864D+00  4.758D+03
    4    7     0     0  con    0  1.0D+00  4.8D-02  6.646D+00  4.753D+03
    5    8     0     0  con    0  1.0D+00  2.6D-02  1.569D+01  4.752D+03
    6    9     0     0  con    0  1.0D+00  7.6D-03  5.510D+00  4.751D+03
    7   10     0     0  con    0  1.0D+00  4.0D-03  5.282D+00  4.751D+03
    8   11     0     0  con    0  1.0D+00  6.9D-03  4.627D+00  4.751D+03
    9   12     0     0  con    0  1.0D+00  6.1D-03  4.419D+00  4.751D+03
   10   14     0     0  con    1  4.9D-01  2.2D-03  4.523D+00  4.751D+03
   11   15     0     0  con    0  1.0D+00  1.5D-03  4.419D+00  4.751D+03
   12   16     0     0  con    0  1.0D+00  2.2D-03  4.267D+00  4.751D+03
   13   17     0     0  con    0  1.0D+00  3.7D-03  4.092D+00  4.751D+03
   14   18     0     0  con    0  1.0D+00  9.2D-03  3.526D+00  4.751D+03
   15   19     0     0  con    0  1.0D+00  2.6D-02  3.401D+00  4.751D+03
   16   20     0     0  con    0  1.0D+00  9.9D-03  1.922D+00  4.751D+03
   17   21     0     0  con    0  1.0D+00  1.2D-02  1.873D+00  4.751D+03
   18   22     0     0  con    0  1.0D+00  1.9D-02  1.859D+00  4.751D+03
   19   23     0     0  con    0  1.0D+00  1.9D-02  2.120D+00  4.751D+03
   20   24     0     0  con    0  1.0D+00  2.7D-03  8.102D-01  4.751D+03
   21   25     0     0  con    0  1.0D+00  2.5D-03  7.196D-01  4.751D+03
   22   26     0     0  con    0  1.0D+00  7.6D-04  7.183D-01  4.751D+03
   23   27     0     0  con    0  1.0D+00  1.3D-03  7.686D-01  4.751D+03
   24   28     0     0  con    0  1.0D+00  2.5D-04  7.544D-01  4.751D+03
   25   29     0     0  con    0  1.0D+00  3.4D-04  7.633D-01  4.751D+03
   26   30     0     0  con    0  1.0D+00  5.7D-04  7.604D-01  4.751D+03
   27   31     0     0  con    0  1.0D+00  1.2D-03  7.080D-01  4.751D+03
   28   32     0     0  con    0  1.0D+00  3.2D-03  6.305D-01  4.751D+03
   29   33     0     0  con    0  1.0D+00  2.5D-03  4.635D-01  4.751D+03
   30   34     0     0  con    0  1.0D+00  3.5D-03  4.082D-01  4.751D+03
   31   35     0     0  con    0  1.0D+00  4.7D-03  3.787D-01  4.751D+03
   32   36     0     0  con    0  1.0D+00  3.6D-03  2.657D-01  4.751D+03
   33   37     0     0  con    0  1.0D+00  1.1D-03  1.036D-01  4.751D+03
   34   38     0     0  con    0  1.0D+00  3.6D-04  4.571D-02  4.751D+03
   35   39     0     0  con    0  1.0D+00  4.0D-04  5.205D-02  4.751D+03
   36   41     0     0  con    1  4.9D-01  2.2D-04  4.619D-02  4.751D+03
   37   42     0     0  con    0  1.0D+00  1.7D-04  4.810D-02  4.751D+03
   38   43     0     0  con    0  1.0D+00  6.6D-05  5.093D-02  4.751D+03

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 2.517E+01 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       184970     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.341D+01  3.724D+03
    1    3     1     0  ---    1  2.5D-04  3.1D-01  3.151D+01  3.545D+03
    2    5     0     0  con    1  4.4D-01  4.1D-02  1.145D+01  3.537D+03
    3    6     0     0  con    0  1.0D+00  2.1D-02  7.763D+00  3.533D+03
    4    7     0     0  con    0  1.0D+00  5.6D-02  4.887D+00  3.528D+03
    5    8     0     0  con    0  1.0D+00  3.5D-02  1.317D+01  3.528D+03
    6    9     0     0  con    0  1.0D+00  9.9D-03  3.298D+00  3.527D+03
    7   10     0     0  con    0  1.0D+00  5.4D-03  2.113D+00  3.527D+03
    8   11     0     0  con    0  1.0D+00  1.0D-02  1.765D+00  3.526D+03
    9   12     0     0  con    0  1.0D+00  8.8D-03  1.671D+00  3.526D+03
   10   14     0     0  con    1  4.6D-01  2.9D-03  2.147D+00  3.526D+03
   11   15     0     0  con    0  1.0D+00  1.0D-03  2.179D+00  3.526D+03
   12   16     0     0  con    0  1.0D+00  1.8D-03  2.190D+00  3.526D+03
   13   17     0     0  con    0  1.0D+00  1.8D-03  2.112D+00  3.526D+03
   14   18     0     0  con    0  1.0D+00  3.6D-03  2.168D+00  3.526D+03
   15   19     0     0  con    0  1.0D+00  4.9D-03  1.606D+00  3.526D+03
   16   20     0     0  con    0  1.0D+00  2.6D-03  1.717D+00  3.526D+03
   17   21     0     0  con    0  1.0D+00  9.8D-03  1.504D+00  3.526D+03
   18   22     0     0  con    0  1.0D+00  1.2D-02  1.759D+00  3.526D+03
   19   23     0     0  con    0  1.0D+00  1.4D-02  1.226D+00  3.526D+03
   20   24     0     0  con    0  1.0D+00  2.4D-02  5.729D-01  3.526D+03
   21   25     0     0  con    0  1.0D+00  7.2D-03  6.654D-01  3.526D+03
   22   26     0     0  con    0  1.0D+00  4.6D-03  3.225D-01  3.526D+03
   23   27     0     0  con    0  1.0D+00  1.0D-03  2.080D-01  3.526D+03
   24   28     0     0  con    0  1.0D+00  2.0D-03  1.762D-01  3.526D+03
   25   30     0     0  con    1  4.1D-01  6.8D-04  2.276D-01  3.526D+03
   26   31     0     0  con    0  1.0D+00  1.4D-03  1.723D-01  3.526D+03
   27   32     0     0  con    0  1.0D+00  5.4D-04  1.836D-01  3.526D+03
   28   33     0     0  con    0  1.0D+00  2.5D-04  1.816D-01  3.526D+03
   29   34     0     0  con    0  1.0D+00  1.5D-04  1.698D-01  3.526D+03
   30   35     0     0  con    0  1.0D+00  2.1D-04  1.632D-01  3.526D+03
   31   36     0     0  con    0  1.0D+00  2.7D-04  1.502D-01  3.526D+03
   32   37     0     0  con    0  1.0D+00  5.6D-04  1.375D-01  3.526D+03
   33   38     0     0  con    0  1.0D+00  4.4D-04  1.280D-01  3.526D+03
   34   39     0     0  con    0  1.0D+00  1.0D-03  1.068D-01  3.526D+03
   35   40     0     0  con    0  1.0D+00  1.3D-03  7.601D-02  3.526D+03
   36   41     0     0  con    0  1.0D+00  2.2D-03  1.646D-01  3.526D+03
   37   42     0     0  con    0  1.0D+00  2.4D-04  7.607D-02  3.526D+03
   38   43     0     0  con    0  1.0D+00  2.8D-04  4.728D-02  3.526D+03
   39   44     0     0  con    0  1.0D+00  3.9D-04  4.403D-02  3.526D+03
   40   45     0     0  con    0  1.0D+00  4.5D-04  5.058D-02  3.526D+03
   41   46     0     0  con    0  1.0D+00  1.8D-04  3.983D-02  3.526D+03
   42   47     0     0  con    0  1.0D+00  4.9D-05  3.976D-02  3.526D+03

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 2.762E+01 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       184970     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.240D+01  2.706D+03
    1    3     1     0  ---    1  4.0D-04  3.3D-01  1.724D+01  2.582D+03
    2    5     0     0  con    1  4.2D-01  3.9D-02  8.955D+00  2.577D+03
    3    6     0     0  con    0  1.0D+00  2.2D-02  7.402D+00  2.575D+03
    4    7     0     0  con    0  1.0D+00  7.2D-02  4.198D+00  2.570D+03
    5    9     0     0  con    1  4.7D-01  2.0D-02  4.032D+00  2.570D+03
    6   10     0     0  con    0  1.0D+00  1.4D-02  2.116D+00  2.569D+03
    7   11     0     0  con    0  1.0D+00  1.8D-02  1.233D+00  2.569D+03
    8   12     0     0  con    0  1.0D+00  1.3D-02  2.895D+00  2.569D+03
    9   13     0     0  con    0  1.0D+00  3.9D-03  1.388D+00  2.569D+03
   10   14     0     0  con    0  1.0D+00  3.4D-03  1.188D+00  2.569D+03
   11   15     0     0  con    0  1.0D+00  3.6D-03  1.161D+00  2.569D+03
   12   16     0     0  con    0  1.0D+00  4.8D-03  1.389D+00  2.569D+03
   13   18     0     0  con    1  3.8D-01  1.6D-03  1.208D+00  2.569D+03
   14   19     0     0  con    0  1.0D+00  1.5D-03  1.373D+00  2.569D+03
   15   20     0     0  con    0  1.0D+00  1.9D-03  1.345D+00  2.569D+03
   16   21     0     0  con    0  1.0D+00  3.6D-03  1.573D+00  2.569D+03
   17   22     0     0  con    0  1.0D+00  4.6D-03  1.074D+00  2.569D+03
   18   23     0     0  con    0  1.0D+00  4.0D-03  9.006D-01  2.569D+03
   19   24     0     0  con    0  1.0D+00  1.3D-02  7.212D-01  2.569D+03
   20   25     0     0  con    0  1.0D+00  1.0D-02  5.138D-01  2.569D+03
   21   26     0     0  con    0  1.0D+00  4.0D-03  2.968D-01  2.569D+03
   22   27     0     0  con    0  1.0D+00  9.5D-03  3.794D-01  2.569D+03
   23   28     0     0  con    0  1.0D+00  5.2D-03  3.115D-01  2.569D+03
   24   29     0     0  con    0  1.0D+00  5.2D-03  2.854D-01  2.569D+03
   25   30     0     0  con    0  1.0D+00  9.4D-04  3.271D-01  2.569D+03
   26   31     0     0  con    0  1.0D+00  6.0D-04  2.793D-01  2.569D+03
   27   32     0     0  con    0  1.0D+00  2.4D-04  2.664D-01  2.569D+03
   28   33     0     0  con    0  1.0D+00  4.7D-04  2.576D-01  2.569D+03
   29   34     0     0  con    0  1.0D+00  4.8D-04  2.552D-01  2.569D+03
   30   36     0     0  con    1  4.2D-01  4.3D-04  2.434D-01  2.569D+03
   31   37     0     0  con    0  1.0D+00  5.3D-04  2.374D-01  2.569D+03
   32   38     0     0  con    0  1.0D+00  4.7D-04  2.309D-01  2.569D+03
   33   39     0     0  con    0  1.0D+00  1.3D-03  2.066D-01  2.569D+03
   34   40     0     0  con    0  1.0D+00  1.6D-03  1.438D-01  2.569D+03
   35   41     0     0  con    0  1.0D+00  7.2D-04  1.271D-01  2.569D+03
   36   42     0     0  con    0  1.0D+00  1.7D-03  7.924D-02  2.569D+03
   37   43     0     0  con    0  1.0D+00  1.1D-03  9.512D-02  2.569D+03
   38   44     0     0  con    0  1.0D+00  1.9D-03  4.773D-02  2.569D+03
   39   45     0     0  con    0  1.0D+00  2.3D-04  5.433D-02  2.569D+03
   40   46     0     0  con    0  1.0D+00  2.2D-04  3.602D-02  2.569D+03
   41   47     0     0  con    0  1.0D+00  8.4D-05  3.095D-02  2.569D+03
   42   48     0     0  con    0  1.0D+00  2.0D-04  2.394D-02  2.569D+03
   43   50     0     0  con    1  5.2D-01  8.5D-05  2.592D-02  2.569D+03

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 2.928E+01 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

               4    7     0     0  con    0  1.0D+00  9.5D-02  3.338D+00  1.921D+03
    5    8     0     0  con    0  1.0D+00  3.5D-02  6.982D+00  1.921D+03
    6    9     0     0  con    0  1.0D+00  1.4D-02  2.844D+00  1.920D+03
    7   10     0     0  con    0  1.0D+00  7.8D-03  2.139D+00  1.920D+03
    8   11     0     0  con    0  1.0D+00  1.9D-02  1.533D+00  1.920D+03
    9   12     0     0  con    0  1.0D+00  1.5D-02  1.252D+00  1.919D+03
   10   14     0     0  con    1  3.6D-01  6.8D-03  1.656D+00  1.919D+03
   11   15     0     0  con    0  1.0D+00  6.0D-03  1.691D+00  1.919D+03
   12   16     0     0  con    0  1.0D+00  2.4D-03  1.621D+00  1.919D+03
   13   17     0     0  con    0  1.0D+00  5.6D-03  1.583D+00  1.919D+03
   14   19     0     0  con    1  4.8D-01  2.7D-03  1.399D+00  1.919D+03
   15   20     0     0  con    0  1.0D+00  2.1D-03  1.343D+00  1.919D+03
   16   21     0     0  con    0  1.0D+00  4.4D-03  1.320D+00  1.919D+03
   17   22     0     0  con    0  1.0D+00  5.0D-03  1.110D+00  1.919D+03
   18   23     0     0  con    0  1.0D+00  1.2D-02  1.169D+00  1.919D+03
   19   24     0     0  con    0  1.0D+00  6.9D-03  8.119D-01  1.919D+03
   20   25     0     0  con    0  1.0D+00  8.6D-03  4.968D-01  1.919D+03
   21   26     0     0  con    0  1.0D+00  1.1D-02  3.110D-01  1.919D+03
   22   28     0     0  con    1  4.9D-01  1.0D-02  4.266D-01  1.919D+03
   23   29     0     0  con    0  1.0D+00  1.1D-02  3.190D-01  1.919D+03
   24   30     0     0  con    0  1.0D+00  3.4D-03  2.775D-01  1.919D+03
   25   31     0     0  con    0  1.0D+00  3.1D-03  2.747D-01  1.919D+03
   26   32     0     0  con    0  1.0D+00  2.3D-03  3.313D-01  1.919D+03
   27   33     0     0  con    0  1.0D+00  6.0D-04  1.955D-01  1.919D+03
   28   34     0     0  con    0  1.0D+00  5.4D-04  2.197D-01  1.919D+03
   29   35     0     0  con    0  1.0D+00  7.1D-04  2.275D-01  1.919D+03
   30   36     0     0  con    0  1.0D+00  1.1D-03  2.537D-01  1.919D+03
   31   38     0     0  con    1  4.9D-01  7.2D-04  1.899D-01  1.919D+03
   32   39     0     0  con    0  1.0D+00  3.9D-04  1.874D-01  1.919D+03
   33   40     0     0  con    0  1.0D+00  9.0D-04  1.881D-01  1.919D+03
   34   41     0     0  con    0  1.0D+00  1.5D-03  1.808D-01  1.919D+03
   35   42     0     0  con    0  1.0D+00  1.4D-03  1.474D-01  1.919D+03
   36   43     0     0  con    0  1.0D+00  2.0D-03  1.179D-01  1.919D+03
   37   44     0     0  con    0  1.0D+00  2.3D-03  7.494D-02  1.919D+03
   38   45     0     0  con    0  1.0D+00  3.2D-03  1.208D-01  1.919D+03
   39   46     0     0  con    0  1.0D+00  3.2D-04  4.177D-02  1.919D+03
   40   47     0     0  con    0  1.0D+00  2.8D-04  5.459D-02  1.919D+03
   41   48     0     0  con    0  1.0D+00  5.4D-04  4.434D-02  1.919D+03
   42   49     0     0  con    0  1.0D+00  8.5D-04  6.356D-02  1.919D+03
   43   50     0     0  con    0  1.0D+00  4.1D-04  1.937D-02  1.919D+03
   44   51     0     0  con    0  1.0D+00  1.9D-04  2.519D-02  1.919D+03
   45   52     0     0  con    0  1.0D+00  4.2D-05  2.637D-02  1.919D+03

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 3.029E+01 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       184970     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.099D+01  1.438D+03
    1    3     1     0  ---    1  1.1D-03  3.8D-01  3.792D+00  1.377D+03
    2    5     0     0  con    1  4.6D-01  4.4D-02  6.140D+00  1.375D+03
   
   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    4    7     0     0  con    0  1.0D+00  9.2D-02  1.890D+00  1.371D+03
    5    8     0     0  con    0  1.0D+00  3.7D-02  3.594D+00  1.371D+03
    6    9     0     0  con    0  1.0D+00  1.0D-02  2.389D+00  1.371D+03
    7   10     0     0  con    0  1.0D+00  1.6D-02  1.711D+00  1.371D+03
    8   11     0     0  con    0  1.0D+00  2.0D-02  1.365D+00  1.370D+03
    9   12     0     0  con    0  1.0D+00  2.2D-02  1.349D+00  1.370D+03
   10   14     0     0  con    1  3.2D-01  6.7D-03  1.157D+00  1.370D+03
   11   15     0     0  con    0  1.0D+00  4.5D-03  1.284D+00  1.370D+03
   12   16     0     0  con    0  1.0D+00  4.4D-03  1.351D+00  1.370D+03
   13   17     0     0  con    0  1.0D+00  5.4D-03  1.244D+00  1.370D+03
   14   18     0     0  con    0  1.0D+00  7.9D-03  1.429D+00  1.370D+03
   15   19     0     0  con    0  1.0D+00  3.9D-03  1.149D+00  1.370D+03
   16   20     0     0  con    0  1.0D+00  2.7D-03  9.886D-01  1.370D+03
   17   21     0     0  con    0  1.0D+00  6.3D-03  8.894D-01  1.370D+03
   18   22     0     0  con    0  1.0D+00  1.2D-02  4.682D-01  1.370D+03
   19   23     0     0  con    0  1.0D+00  4.9D-03  4.932D-01  1.370D+03
   20   24     0     0  con    0  1.0D+00  8.2D-03  6.395D-01  1.370D+03
   21   25     0     0  con    0  1.0D+00  9.5D-03  6.547D-01  1.370D+03
   22   26     0     0  con    0  1.0D+00  1.7D-02  5.337D-01  1.370D+03
   23   28     0     0  con    1  2.0D-01  5.7D-03  5.097D-01  1.370D+03
   24   29     0     0  con    0  1.0D+00  8.7D-03  2.487D-01  1.370D+03
